"timestamp","system_time","lat","lon","speed","bearing","provider"
"1531401547368","1531401547962","42.99784907","-78.80209334","0.38910154","0.9","gps"
"1531401549000","1531401549096","42.99789077","-78.80202308","0.400125","19.1","gps"
"1531401550000","1531401550116","42.99790414","-78.80199322","1.4103191","9.4","gps"
"1531401551000","1531401551116","42.99793814","-78.80199427","2.84","3.1","gps"
"1531401552000","1531401552116","42.9979812","-78.80199014","3.8700128","0.9","gps"
"1531401553000","1531401553107","42.99802778","-78.80199148","4.8100414","0.0","gps"
"1531401554000","1531401554109","42.99808202","-78.80199309","5.7","359.5","gps"
"1531401555000","1531401555121","42.99814","-78.80199273","6.3800707","358.8","gps"
"1531401556000","1531401556119","42.99820651","-78.80199161","7.060177","358.3","gps"
"1531401557000","1531401557121","42.99827977","-78.80199548","7.790642","359.5","gps"
"1531401558000","1531401558122","42.99835497","-78.80199324","8.40038","0.3","gps"
"1531401559000","1531401559115","42.99843889","-78.80199481","8.940453","0.8","gps"
"1531401560000","1531401560098","42.99852731","-78.80199187","9.580751","0.5","gps"
"1531401561000","1531401561099","42.99862268","-78.80198978","10.520684","0.4","gps"
"1531401562000","1531401562107","42.99872799","-78.8019902","11.670039","0.4","gps"
"1531401563000","1531401563110","42.99884397","-78.80198953","12.860314","0.2","gps"
"1531401564000","1531401564107","42.99897137","-78.80198763","13.910518","0.1","gps"
"1531401565000","1531401565105","42.99910265","-78.80198828","14.221139","359.8","gps"
"1531401566000","1531401566113","42.99922717","-78.80198801","13.991033","359.9","gps"
"1531401567000","1531401567112","42.99934415","-78.80198643","13.331084","359.8","gps"
"1531401568000","1531401568113","42.99945542","-78.80198586","12.510576","0.0","gps"
"1531401569000","1531401569117","42.99955831","-78.8019847","11.340357","0.2","gps"
"1531401570000","1531401570119","42.99964986","-78.80197718","10.160708","3.4","gps"
"1531401571000","1531401571113","42.99973223","-78.80195085","9.221567","12.0","gps"
"1531401572000","1531401572112","42.99980245","-78.80189757","8.690144","27.4","gps"
"1531401573000","1531401573114","42.99985316","-78.80181653","8.7309675","47.8","gps"
"1531401574000","1531401574121","42.99988483","-78.80171251","8.971093","66.7","gps"
"1531401575000","1531401575121","42.99989923","-78.80159308","9.80025","80.3","gps"
"1531401576000","1531401576115","42.99990598","-78.80145808","10.910073","85.5","gps"
"1531401577000","1531401577113","42.99991092","-78.80130612","12.0","87.4","gps"
"1531401578000","1531401578115","42.99991652","-78.80114592","13.11","87.4","gps"
"1531401579000","1531401579120","42.99992297","-78.80097206","14.150003","87.7","gps"
"1531401580000","1531401580121","42.99992594","-78.80078674","15.18003","88.8","gps"
"1531401581000","1531401581125","42.99993092","-78.80059283","15.730003","88.0","gps"
"1531401582000","1531401582118","42.99993447","-78.80040375","15.630004","88.3","gps"
"1531401583000","1531401583114","42.99993517","-78.80021838","15.340081","88.5","gps"
"1531401584000","1531401584113","42.99993953","-78.80003479","14.8200035","88.4","gps"
"1531401585000","1531401585114","42.9999418","-78.79985818","14.280171","88.4","gps"
"1531401586000","1531401586118","42.99994606","-78.79969208","13.570015","87.7","gps"
"1531401587000","1531401587106","42.99995647","-78.79953697","12.680142","87.4","gps"
"1531401588000","1531401588112","42.99996007","-78.79940159","11.410005","88.2","gps"
"1531401589000","1531401589123","42.99995966","-78.79928209","10.03002","88.6","gps"
"1531401590000","1531401590123","42.99996252","-78.79917587","8.58","88.6","gps"
"1531401591000","1531401591118","42.99996459","-78.79909352","6.93","88.9","gps"
"1531401592000","1531401592114","42.9999657","-78.79903347","5.03001","88.5","gps"
"1531401593000","1531401593109","42.99996111","-78.79899696","3.0408058","89.7","gps"
"1531401594000","1531401594115","42.9999593","-78.79898237","1.3805796","90.0","gps"
"1531401597000","1531401597098","42.99996191","-78.79897027","0.0","0.0","gps"
"1531401602000","1531401602111","42.9999697","-78.79896257","0.0","0.0","gps"
"1531401618000","1531401618121","42.99996276","-78.79893808","1.3","90.0","gps"
"1531401619000","1531401619122","42.99996323","-78.79889853","3.3800592","89.9","gps"
"1531401620000","1531401620118","42.99996828","-78.79883638","5.3300376","90.3","gps"
"1531401621000","1531401621110","42.99996598","-78.79875091","6.760599","91.6","gps"
"1531401622000","1531401622115","42.99996361","-78.79865072","7.980006","92.0","gps"
"1531401623000","1531401623107","42.99996183","-78.7985346","9.4407625","91.8","gps"
"1531401624000","1531401624107","42.99996151","-78.7984061","10.770465","91.4","gps"
"1531401625000","1531401625113","42.99996166","-78.79826387","11.650618","90.8","gps"
"1531401626000","1531401626109","42.99996226","-78.7981173","11.991351","90.3","gps"
"1531401627000","1531401627186","42.99996113","-78.79797198","11.741703","89.7","gps"
"1531401628000","1531401628106","42.9999629","-78.79782906","11.380743","88.4","gps"
"1531401629000","1531401629111","42.99997589","-78.79769784","11.030222","82.6","gps"
"1531401630000","1531401630123","42.9999903","-78.79756435","10.860778","81.1","gps"
"1531401631000","1531401631124","42.99999512","-78.79743426","10.6503","86.9","gps"
"1531401632000","1531401632123","42.99999844","-78.79731901","9.53","87.2","gps"
"1531401633000","1531401633123","42.99999994","-78.79723308","7.220173","89.3","gps"
"1531401634000","1531401634117","42.99999873","-78.79717669","4.4902782","89.8","gps"
"1531401635000","1531401635112","42.99999852","-78.79715126","1.9902261","89.7","gps"
"1531401640000","1531401640112","42.99999477","-78.79713743","0.0","0.0","gps"
